SID,Sent,WID,Token,Type,GS/Head,SA/Head,SA/Check,SA/Gramm,Lemma
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,1,Эта,amod,2,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,2,книга,subj,3,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,3,посвящается,pred,,,h
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,4,нашим,amod,5,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,5,родителям,comp,3,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,6,0,,5,,3
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,7,Роджеру,appo,5,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,8,и,cj,7,,3
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,9,Фрэнсис,coord,10,,1
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,10,Джонсон,appo,7,,1
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,11,,,-10,,
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,12,которые,subj,14,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,13,не,spec,14,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,14,признавали,preds,,,6
