SID;Sent;WID;Token;Type;GS/Head;SA/Head;SA/New Head;SA/Check;SA/Gramm;Lemma;New Gram;СемСин/Head;Этап-3/Head;СемСин/Mark;Этап-3/Mark
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;1;Эта;amod;2;2;;0;prn,sg,fem,nom,trd;этот;;2;2;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;2;книга;subj;3;3;;0;nn,sg,fem,nom,trd;книга;;3;3;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;3;посвящается;pred;0;;;h;vrb,sg,fem,fin,trd,prs,ind,psv;посвящать;;;;h;h
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;4;нашим;amod;5;5;;0;prn,pl,msc,dat,trd;наш;;5;5;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;5;родителям;comp;3;3;;0;nn,pl,msc,anm,dat,trd;РОДИТЕЛЬ;;3;3;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;6;0;;-5;5;;3;pnt;0;;;;;
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;7;Роджеру;appo;5;5;;0;nn,sg,pl,msc,anm,dat,trd;роджер;;5;5;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;8;и;cj;9;7;;3;cnj;и;;10;7;1;3
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;9;Фрэнсис;coord;7;10;;1;nn,sg,fem,msc,anm,nom,gen,dat,acc,ins,loc,trd;фрэнсис;;10;8;3;3
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;10;Джонсон;appo;9;7;;1;nn,sg,fem,msc,anm,dat,trd;джонсон;;2;9;1;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;11;,;;-10;;;;pnt;0;;;;;
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;12;которые;subj;14;14;;0;prn,pl,fem,msc,neu,nom,trd;который;;14;14;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;13;не;spec;14;14;;0;pt;не;;14;14;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;14;признавали;preds;5;;;6;vrb,pl,fem,msc,neu,fin,trd,pst,ind,act;признавать;;5;7;0;1
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;15;соперничества;comp;14;14;;0;nn,pl,neu,acc,trd;соперничество;;14;14;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;16;и;cj;17;19;;1;cnj;и;;17;14;0;3
